zcta,total_pop,pct_white_nh,pct_black_nh,pct_hispanic,pct_asian_nh,pct_aian_nh,pct_nhpi_nh,median_hh_income,pct_below_poverty,pct_uninsured_adults_19_64,median_age,is_majority_minority,area_sq_km,low_spatial_precision,pw_centroid_lat,pw_centroid_lon,sas_score,sas_score_aggressive,sas_score_flat,best_facility_id,best_facility_name,best_facility_type,socioeconomic_vulnerability_flag,clinical_risk_flag,double_jeopardy_flag,best_facility_drive_miles,nearest_csc_name,nearest_csc_drive_mins,nearest_csc_drive_miles
93441,1085,73.36405529953916,0.0,20.368663594470046,0.5529953917050692,0.0,0.0,135625.0,9.351851851851851,9.4374,58.5,0,100.1059288974201,0,34.67218646393822,-120.11366057799229,65,55.0,70.0,050357,GOLETA VALLEY COTTAGE HOSPITAL,CSC,0,0,0,33.0,GOLETA VALLEY COTTAGE HOSPITAL,40.1,33.0
93442,11399,75.21712430914992,0.2105447846302307,14.150364067023425,4.982893236248794,0.4474076673392403,0.0,88309.0,10.138740661686233,3.9034,52.4,0,118.06184149274985,0,35.379358725294125,-120.84925233202803,85,100.0,100.0,,FRENCH HOSPITAL MEDICAL CENTER,CSC,0,0,0,14.5,FRENCH HOSPITAL MEDICAL CENTER,20.0,14.5
93444,22079,49.33194438153902,0.8333710765886136,44.540060691154494,2.3959418451922643,0.01358757190090131,0.24004710358258977,102566.0,6.906115026142305,7.0126,42.7,1,171.96234431944012,0,35.03154286951059,-120.49852405181905,65,55.0,70.0,,FRENCH HOSPITAL MEDICAL CENTER,CSC,0,0,0,26.7,FRENCH HOSPITAL MEDICAL CENTER,30.2,26.7
93445,6912,48.35069444444444,1.7795138888888888,44.820601851851855,1.2586805555555556,0.0,0.0,73293.0,14.184294407418141,13.8757,44.5,1,47.32143415494944,0,35.10198461846589,-120.60959079670457,85,100.0,100.0,,FRENCH HOSPITAL MEDICAL CENTER,CSC,0,0,0,18.1,FRENCH HOSPITAL MEDICAL CENTER,24.4,18.1
93446,45720,62.59186351706036,0.6627296587926509,28.064304461942257,3.027121609798775,0.3390201224846894,0.03718285214348207,89889.0,9.843854561677448,12.7122,41.0,0,1118.7511670988952,1,35.63211331560057,-120.67676442560717,65,55.0,70.0,,FRENCH HOSPITAL MEDICAL CENTER,CSC,0,0,0,28.8,FRENCH HOSPITAL MEDICAL CENTER,30.9,28.8
93449,8050,80.04968944099379,0.9192546583850932,10.0,3.6397515527950315,0.09937888198757765,1.8260869565217392,109196.0,7.909887359198999,7.2638,54.1,0,27.49934940576887,0,35.149105907448124,-120.65038618819169,100,100.0,100.0,,FRENCH HOSPITAL MEDICAL CENTER,CSC,0,0,0,13.1,FRENCH HOSPITAL MEDICAL CENTER,14.8,13.1
93450,830,26.506024096385545,0.0,70.72289156626506,0.0,0.0,0.0,66083.0,15.783132530120481,2.9644,30.3,1,471.1466088484306,1,36.02036159704251,-120.89531426377081,25,32.5,70.0,,FRENCH HOSPITAL MEDICAL CENTER,CSC,0,0,0,62.7,FRENCH HOSPITAL MEDICAL CENTER,61.8,62.7
93451,4751,44.011786992212166,0.9050726162913071,51.14712692064829,0.9892654178067775,1.4523258261418648,0.0,77500.0,19.898926089703096,17.4932,37.1,1,1158.7580691866463,1,35.76194613327802,-120.66242705307045,50,55.0,70.0,,FRENCH HOSPITAL MEDICAL CENTER,CSC,0,0,0,45.2,FRENCH HOSPITAL MEDICAL CENTER,55.1,45.2
93452,307,46.25407166123778,0.0,53.74592833876222,0.0,0.0,0.0,58125.0,0.0,55.5556,48.0,1,313.5074360303989,1,35.62636381800767,-121.15591180957854,50,55.0,70.0,,FRENCH HOSPITAL MEDICAL CENTER,CSC,0,0,0,40.3,FRENCH HOSPITAL MEDICAL CENTER,47.3,40.3
93453,2096,82.9675572519084,0.0,12.547709923664122,0.0,0.0,0.0,76250.0,6.297709923664121,11.9593,62.5,0,1794.680378390625,1,35.3731884382266,-120.46768756702794,65,55.0,70.0,,FRENCH HOSPITAL MEDICAL CENTER,CSC,0,0,0,21.2,FRENCH HOSPITAL MEDICAL CENTER,30.1,21.2
93454,41110,22.09681342738993,1.2770615422038434,70.24568231573826,3.7630746776939916,0.23595232303575772,0.0,80438.0,11.55581859880151,19.6436,32.1,1,1093.082757482539,1,34.95511611424599,-120.42043109305503,65,55.0,70.0,,FRENCH HOSPITAL MEDICAL CENTER,CSC,0,0,0,33.4,FRENCH HOSPITAL MEDICAL CENTER,34.4,33.4
93455,44186,49.44552573213235,1.8241071832707192,38.616303806635585,4.505952111528538,0.5906848322998235,0.09505273163445435,105838.0,6.174411203055379,7.2787,38.7,1,307.32990209532556,1,34.8845871254207,-120.42984513777016,65,55.0,70.0,,FRENCH HOSPITAL MEDICAL CENTER,CSC,0,0,0,40.0,FRENCH HOSPITAL MEDICAL CENTER,41.0,40.0
93458,59789,7.600060211744636,0.6974527086922344,86.8169730217933,4.181371155229223,0.04683135693856729,0.0,75519.0,16.1383871788349,31.0196,26.4,1,74.43541903583981,0,34.953058070615896,-120.44652066560987,65,55.0,70.0,,FRENCH HOSPITAL MEDICAL CENTER,CSC,0,0,0,34.5,FRENCH HOSPITAL MEDICAL CENTER,38.1,34.5
93460,6280,67.35668789808918,0.8598726114649682,21.449044585987263,0.9235668789808917,5.907643312101911,0.0,144196.0,12.392206962631747,13.2309,44.9,0,570.1016120151259,1,34.62778639464037,-120.07844017512218,65,55.0,70.0,050357,GOLETA VALLEY COTTAGE HOSPITAL,CSC,0,0,0,30.2,GOLETA VALLEY COTTAGE HOSPITAL,37.1,30.2
